,0
2024-01-02,-0.2894003925606851
2024-01-03,-0.5826317598726205
2024-01-04,0.9731884778176868
2024-01-05,0.7820676168852798
2024-01-08,2.131010405715574
2024-01-09,0.2710370856905216
2024-01-10,0.5942649550701633
2024-01-11,-0.8030168631494261
2024-01-12,-1.0238497552484775
2024-01-16,-0.5160775907502733
2024-01-17,0.2545031838072772
2024-01-18,-0.226593445480923
2024-01-19,0.6538392812377546
2024-01-22,0.3719721010212523
2024-01-23,-0.11802567717572654
2024-01-24,-1.5309003217412644
2024-01-25,0.07210505841017825
2024-01-26,-0.06376935727189939
2024-01-29,1.1377062578213357
2024-01-30,-0.29161655224021704
2024-01-31,-1.028115300472271
2024-02-01,0.7936040979255927
2024-02-02,0.518654643304718
2024-02-05,-0.7693801624006201
2024-02-06,1.7607172706710785
2024-02-07,0.1406192297153199
2024-02-08,0.9717214064141767
2024-02-09,0.32372970423968617
2024-02-12,1.7365997770311672
2024-02-13,-0.43347724376992275
2024-02-14,0.8712469440518545
2024-02-15,1.2400585828483375
2024-02-16,-0.42731802323690266
2024-02-20,-0.21494770716355807
2024-02-21,0.6264335649427056
2024-02-22,0.020932395009583687
2024-02-23,-0.6041260900691838
2024-02-26,2.380260790004049
2024-02-27,1.3379794545088486
2024-02-28,-0.2762227224751486
2024-02-29,0.6772486685590803
2024-03-01,0.95782719001461
2024-03-04,-0.8781124830149709
2024-03-05,-0.3092560404360334
2024-03-06,0.003749389203200804
2024-03-07,0.7383878679755824
2024-03-08,-0.9876264363806266
2024-03-11,0.2369071427782695
2024-03-12,0.3538766761139472
2024-03-13,0.8688220608193852
2024-03-14,-1.9730323669386869
2024-03-15,0.717253193436323
2024-03-18,-0.5546155956651982
2024-03-19,0.7626427660479775
2024-03-20,1.6234539328794153
2024-03-21,-0.7043732795020757
2024-03-22,0.7038680675052713
2024-03-25,0.13568740325120637
2024-03-26,-0.7003167313443074
2024-03-27,1.8013028203875516
2024-03-28,0.11499235206503668
2024-04-01,-0.4587306385396987
2024-04-02,-0.024515859913819202
2024-04-03,1.289200696428102
2024-04-04,4.297352186470571
2024-04-05,0.3244694040118556
2024-04-08,-0.05443218664263995
2024-04-09,0.28736264439320414
2024-04-10,0.02807061220626579
2024-04-11,0.24035370481069765
2024-04-12,-1.672245634690505
2024-04-15,-2.2739108996397044
2024-04-16,-0.28231437580014807
2024-04-17,-0.7930099841568372
2024-04-18,-0.14786083441603529
2024-04-19,-0.3233552387422796
2024-04-22,0.6829412434240263
2024-04-23,0.9857346750109073
2024-04-24,-0.34764624683780027
2024-04-25,1.152213242450031
2024-04-26,1.1036209840887112
2024-04-29,0.6314044597011873
2024-04-30,-0.11933036111642122
2024-05-01,2.2060508936510863
2024-05-02,0.5734777820331313
2024-05-03,-0.22852792475137304
2024-05-06,0.6961282070664657
2024-05-07,-0.5293419469662484
2024-05-08,0.7988615454242377
2024-05-09,1.0783507011057978
2024-05-10,-1.9438116970470418
2024-05-13,6.9602665780143
2024-05-14,-5.425188375082829
2024-05-15,-1.052323834537511
2024-05-16,0.0031151544257151057
2024-05-17,0.0074128722736371945
2024-05-20,0.792546678831023
2024-05-21,0.22110168620639956
2024-05-22,0.2653868516165571
2024-05-23,-2.159441280662012
2024-05-24,0.6782269786691402
2024-05-28,-0.290128988538625
2024-05-29,1.310388623199442
2024-05-30,2.4416129432722964
2024-05-31,0.6493087145434254
2024-06-03,-1.7102522964207314
2024-06-04,-0.2248430655970819
2024-06-05,1.3591569725081287
2024-06-06,2.687082850231169
2024-06-07,-1.7745379915931607
2024-06-10,0.5508216195094308
2024-06-11,1.429059937190043
2024-06-12,-0.84941255128759
2024-06-13,-0.2979814914349715
2024-06-14,-0.42912284468021983
2024-06-17,0.4444496494563214
2024-06-18,0.3545698157427922
2024-06-20,-0.7559017855123824
2024-06-21,0.22225771536113506
2024-06-24,0.07181300938432884
2024-06-25,0.6402007607369401
2024-06-26,-0.1925494045190512
2024-06-27,0.4701325410479927
2024-06-28,-0.5103751353535003
2024-07-01,-0.6702373849730274
2024-07-02,0.6353152834878901
2024-07-03,1.1209853323470786
2024-07-05,0.21263736491913543
2024-07-08,0.3387884905081215
2024-07-09,0.16871843320872737
2024-07-10,1.8135284773514226
2024-07-11,-0.25292655845567846
2024-07-12,1.4019729090726472
2024-07-15,-0.2861468305535734
2024-07-16,1.7079272707292508
2024-07-17,-0.9009546758995659
2024-07-18,-1.6683257966367113
2024-07-19,3.7606808909575102
2024-07-22,-0.12459670424237328
2024-07-23,0.3959477028304453
2024-07-24,-2.177742755029677
2024-07-25,0.4171592280567512
2024-07-26,0.6031518402204079
2024-07-29,0.1346881935597142
2024-07-30,-1.4530852745238678
2024-07-31,0.25385604040329857
2024-08-01,-3.182965325373121
2024-08-02,-0.8457776885481869
2024-08-05,3.1373773820551727
2024-08-06,1.7499651993000236
2024-08-07,-3.046317386132495
2024-08-08,2.3614576820593376
2024-08-09,-0.08038351830250996
2024-08-12,-0.3939248819906988
2024-08-13,1.707900897348679
2024-08-14,-0.454657302618425
2024-08-15,2.0141830682523056
2024-08-16,1.0904153671437338
2024-08-19,1.8639056128474223
2024-08-20,-0.5047546140172748
2024-08-21,0.8624254567948624
2024-08-22,-1.7761977518039733
2024-08-23,1.7377480398882816
2024-08-26,-0.8153906220457177
2024-08-27,0.14859109410251278
2024-08-28,-1.2202132804564145
2024-08-29,-0.3243689195200212
2024-08-30,0.2143724087862446
2024-09-03,-2.2857309836313138
2024-09-04,0.3672100867604766
2024-09-05,0.2498204334686167
2024-09-06,-2.2284091382963536
2024-09-09,1.600923386809934
2024-09-10,-0.03588864649175535
2024-09-11,2.0659353144318606
2024-09-12,1.2502593606176198
2024-09-13,1.3455958883068564
2024-09-16,0.323454943257162
2024-09-17,-0.34233655348747893
2024-09-18,-0.8717597556349244
2024-09-19,0.04947745150090919
2024-09-20,0.1852612228635423
2024-09-23,0.16554973463329012
2024-09-24,0.9699221359696896
2024-09-25,-0.26679481988603854
2024-09-26,-0.16190572796599087
2024-09-27,1.2445518165988017
2024-09-30,-0.6225678734407116
2024-10-01,-0.529524184501547
2024-10-02,0.5024303186505056
2024-10-03,0.987460309083986
2024-10-04,0.9962258299175456
2024-10-07,0.2167323700148916
2024-10-08,0.5833022718963711
2024-10-09,0.7493778610532392
2024-10-10,0.44072037391262675
2024-10-11,1.8474855299553445
2024-10-14,0.6564665969787475
2024-10-15,25.069265201274746
